,artist,number,orig_ds,orig_fname,title,duration
0,James Brown,0003,Billboard,0003\salami_chords.txt,I Don't mind,151
1,Roberta Flack and Donny Hathaway,0004,Billboard,0004\salami_chords.txt,You've got a Friend,207
2,Bette Midler,0006,Billboard,0006\salami_chords.txt,The Rose,221
3,Billy Joel,0010,Billboard,0010\salami_chords.txt,An Innocent Man,318
4,Johnny Lee,0012,Billboard,0012\salami_chords.txt,Lookin' for Love,212
5,Aerosmith,0015,Billboard,0015\salami_chords.txt,Last Child,206
6,Cyndi Lauper,0016,Billboard,0016\salami_chords.txt,She Bop,229
7,Hall & Oates,0018,Billboard,0018\salami_chords.txt,Kiss On My List,231
8,Tanya Tucker,0019,Billboard,0019\salami_chords.txt,Here's Some Love,178
9,The J. Geils Band,0021,Billboard,0021\salami_chords.txt,Just Can't Wait,208
10,The 5th Dimension,0022,Billboard,0022\salami_chords.txt,Never My Love,238
11,Talking Heads,0023,Billboard,0023\salami_chords.txt,And She Was,219
12,Graham Nash,0025,Billboard,0025\salami_chords.txt,Chicago,241
13,Chiffons,0026,Billboard,0026\salami_chords.txt,Swing Talkin' Guy,148
14,Bad Company,0027,Billboard,0027\salami_chords.txt,Rock 'n' Roll Fantasy,200
15,Steve Miller Band,0029,Billboard,0029\salami_chords.txt,The Joker,219
16,R Dean Tayloy,0030,Billboard,0030\salami_chords.txt,Indiana Wants Me,191
17,Heart,0033,Billboard,0033\salami_chords.txt,Crazy On You,292
18,If I Can't Have You,0034,Billboard,0034\salami_chords.txt,Yvonne Elliman,180
19,Freedom,0035,Billboard,0035\salami_chords.txt,Jimi Hendrix,263
20,Flatt & Scruggs,0037,Billboard,0037\salami_chords.txt,Foggy Mountain Breakdown,162
21,Rolling Stones,0039,Billboard,0039\salami_chords.txt,It's Only Rock and Roll (But I Like It),307
22,Snap,0040,Billboard,0040\salami_chords.txt,The Power,221
23,Five Man Electrical Band,0041,Billboard,0041\salami_chords.txt,Absolutely Right,142
