,artist,duration,orig_ds,orig_fname,title
0,Carole King,179,chordlib,Carole King\01 I Feel The Earth Move.lab,I Feel The Earth Move
1,Carole King,236,chordlib,Carole King\02 So Far Away.lab,So Far Away
2,Carole King,234,chordlib,Carole King\03 It's Too Late.lab,It's Too Late
3,Carole King,149,chordlib,Carole King\04 Home Again.lab,Home Again
4,Carole King,188,chordlib,Carole King\05 Beautiful.lab,Beautiful
5,Carole King,284,chordlib,Carole King\06 Way Over Yonder.lab,Way Over Yonder
6,Carole King,310,chordlib,Carole King\07 You've Got A Friend.lab,You've Got A Friend
7,Queen,358,chordlib,Queen\Greatest Hits I\01 Bohemian Rhapsody.lab,Bohemian Rhapsody
8,Queen,217,chordlib,Queen\Greatest Hits I\02 Another One Bites The Dust.lab,Another One Bites The Dust
9,Queen,205,chordlib,Queen\Greatest Hits I\04 Fat Bottomed Girls.lab,Fat Bottomed Girls
10,Queen,184,chordlib,Queen\Greatest Hits I\05 Bicycle Race.lab,Bicycle Race
11,Queen,172,chordlib,Queen\Greatest Hits I\06 You're My Best Friend.lab,You're My Best Friend
12,Queen,212,chordlib,Queen\Greatest Hits I\07 Don't Stop Me Now.lab,Don't Stop Me Now
13,Queen,229,chordlib,Queen\Greatest Hits I\08 Save Me.lab,Save Me
14,Queen,164,chordlib,Queen\Greatest Hits I\09 Crazy Little Thing Called Love.lab,Crazy Little Thing Called Love
15,Queen,298,chordlib,Queen\Greatest Hits I\10 Somebody To Love.lab,Somebody To Love
16,Queen,176,chordlib,Queen\Greatest Hits I\12 Good Old-Fashioned Lover Boy.lab,Good Old Fashioned Lover Boy
17,Queen,213,chordlib,Queen\Greatest Hits I\13 Play The Game.lab,Play The Game
18,Queen,170,chordlib,Queen\Greatest Hits I\15 Seven Seas Of Rhye.lab,Seven Seas Of Rhye
19,Queen,123,chordlib,Queen\Greatest Hits I\16 We Will Rock You.lab,We Will Rock You
20,Queen,181,chordlib,Queen\Greatest Hits I\17 We Are The Champions.lab,We Are The Champions
21,Queen,263,chordlib,Queen\Greatest Hits II\01 A Kind Of Magic.lab,A Kind Of Magic
22,Queen,242,chordlib,Queen\Greatest Hits II\04 I Want It All.lab,I Want It All
23,Queen,242,chordlib,Queen\Greatest Hits II\05 I Want To Break Free (2).lab,I Want To Break Free (2)
24,Queen,259,chordlib,Queen\Greatest Hits II\05 I Want To Break Free.lab,I Want To Break Free
25,Queen,297,chordlib,Queen\Greatest Hits II\09 Who Wants To Live Forever.lab,Who Wants To Live Forever
26,Queen,221,chordlib,Queen\Greatest Hits II\14 Hammer To Fall.lab,Hammer To Fall
27,Queen,249,chordlib,Queen\Greatest Hits II\15 Friends Will Be Friends.lab,Friends Will Be Friends
28,The Beatles,249,chordlib,The Beatles\01_-_Please_Please_Me\01_-_I_Saw_Her_Standing_There (2).lab,I Saw Her Standing There (2)
29,The Beatles,176,chordlib,The Beatles\01_-_Please_Please_Me\01_-_I_Saw_Her_Standing_There.lab,I Saw Her Standing There
30,The Beatles,110,chordlib,The Beatles\01_-_Please_Please_Me\02_-_Misery.lab,Misery
31,The Beatles,178,chordlib,The Beatles\01_-_Please_Please_Me\03_-_Anna_(Go_To_Him).lab,Anna (Go To Him)
32,The Beatles,146,chordlib,The Beatles\01_-_Please_Please_Me\04_-_Chains.lab,Chains
33,The Beatles,148,chordlib,The Beatles\01_-_Please_Please_Me\05_-_Boys.lab,Boys
34,The Beatles,148,chordlib,The Beatles\01_-_Please_Please_Me\06_-_Ask_Me_Why.lab,Ask Me Why
35,The Beatles,123,chordlib,The Beatles\01_-_Please_Please_Me\07_-_Please_Please_Me.lab,Please Please Me
36,The Beatles,143,chordlib,The Beatles\01_-_Please_Please_Me\08_-_Love_Me_Do.lab,Love Me Do
37,The Beatles,126,chordlib,The Beatles\01_-_Please_Please_Me\09_-_P._S._I_Love_You.lab,P. S. I Love You
38,The Beatles,158,chordlib,The Beatles\01_-_Please_Please_Me\10_-_Baby_It's_You.lab,Baby It's You
39,The Beatles,119,chordlib,The Beatles\01_-_Please_Please_Me\11_-_Do_You_Want_To_Know_A_Secret.lab,Do You Want To Know A Secret
40,The Beatles,125,chordlib,The Beatles\01_-_Please_Please_Me\12_-_A_Taste_Of_Honey.lab,A Taste Of Honey
41,The Beatles,125,chordlib,The Beatles\01_-_Please_Please_Me\13_-_There's_A_Place (2).lab,There's A Place (2)
42,The Beatles,113,chordlib,The Beatles\01_-_Please_Please_Me\13_-_There's_A_Place.lab,There's A Place
43,The Beatles,153,chordlib,The Beatles\01_-_Please_Please_Me\14_-_Twist_And_Shout.lab,Twist And Shout
44,The Beatles,134,chordlib,The Beatles\02_-_With_the_Beatles\01_-_It_Won't_Be_Long.lab,It Won't Be Long
45,The Beatles,125,chordlib,The Beatles\02_-_With_the_Beatles\02_-_All_I've_Got_To_Do.lab,All I've Got To Do
46,The Beatles,130,chordlib,The Beatles\02_-_With_the_Beatles\03_-_All_My_Loving.lab,All My Loving
47,The Beatles,149,chordlib,The Beatles\02_-_With_the_Beatles\04_-_Don't_Bother_Me.lab,Don't Bother Me
48,The Beatles,108,chordlib,The Beatles\02_-_With_the_Beatles\05_-_Little_Child.lab,Little Child
49,The Beatles,137,chordlib,The Beatles\02_-_With_the_Beatles\06_-_Till_There_Was_You.lab,Till There Was You
50,The Beatles,157,chordlib,The Beatles\02_-_With_the_Beatles\07_-_Please_Mister_Postman.lab,Please Mister Postman
51,The Beatles,168,chordlib,The Beatles\02_-_With_the_Beatles\08_-_Roll_Over_Beethoven.lab,Roll Over Beethoven
52,The Beatles,153,chordlib,The Beatles\02_-_With_the_Beatles\09_-_Hold_Me_Tight.lab,Hold Me Tight
53,The Beatles,183,chordlib,The Beatles\02_-_With_the_Beatles\10_-_You_Really_Got_A_Hold_On_Me.lab,You Really Got A Hold On Me
54,The Beatles,119,chordlib,The Beatles\02_-_With_the_Beatles\11_-_I_Wanna_Be_Your_Man.lab,I Wanna Be Your Man
55,The Beatles,148,chordlib,The Beatles\02_-_With_the_Beatles\12_-_Devil_In_Her_Heart.lab,Devil In Her Heart
56,The Beatles,128,chordlib,The Beatles\02_-_With_the_Beatles\13_-_Not_A_Second_Time.lab,Not A Second Time
57,The Beatles,167,chordlib,The Beatles\02_-_With_the_Beatles\14_-_Money.lab,Money
58,The Beatles,153,chordlib,The Beatles\03_-_A_Hard_Day's_Night\01_-_A_Hard_Day's_Night.lab,A Hard Day's Night
59,The Beatles,164,chordlib,The Beatles\03_-_A_Hard_Day's_Night\02_-_I_Should_Have_Known_Better.lab,I Should Have Known Better
60,The Beatles,142,chordlib,The Beatles\03_-_A_Hard_Day's_Night\03_-_If_I_Fell.lab,If I Fell
61,The Beatles,119,chordlib,The Beatles\03_-_A_Hard_Day's_Night\04_-_I'm_Happy_Just_To_Dance_With_You.lab,I'm Happy Just To Dance With You
62,The Beatles,151,chordlib,The Beatles\03_-_A_Hard_Day's_Night\05_-_And_I_Love_Her.lab,And I Love Her
63,The Beatles,130,chordlib,The Beatles\03_-_A_Hard_Day's_Night\06_-_Tell_Me_Why.lab,Tell Me Why
64,The Beatles,135,chordlib,The Beatles\03_-_A_Hard_Day's_Night\07_-_Can't_Buy_Me_Love.lab,Can't Buy Me Love
65,The Beatles,133,chordlib,The Beatles\03_-_A_Hard_Day's_Night\08_-_Any_Time_At_All.lab,Any Time At All
66,The Beatles,108,chordlib,The Beatles\03_-_A_Hard_Day's_Night\09_-_I'll_Cry_Instead.lab,I'll Cry Instead
67,The Beatles,159,chordlib,The Beatles\03_-_A_Hard_Day's_Night\10_-_Things_We_Said_Today.lab,Things We Said Today
68,The Beatles,138,chordlib,The Beatles\03_-_A_Hard_Day's_Night\11_-_When_I_Get_Home.lab,When I Get Home
69,The Beatles,138,chordlib,The Beatles\03_-_A_Hard_Day's_Night\12_-_You_Can't_Do_That (2).lab,You Can't Do That (2)
70,The Beatles,158,chordlib,The Beatles\03_-_A_Hard_Day's_Night\12_-_You_Can't_Do_That.lab,You Can't Do That
71,The Beatles,140,chordlib,The Beatles\03_-_A_Hard_Day's_Night\13_-_I'll_Be_Back.lab,I'll Be Back
72,The Beatles,140,chordlib,The Beatles\04_-_Beatles_for_Sale\01_-_No_Reply (2).lab,No Reply (2)
73,The Beatles,138,chordlib,The Beatles\04_-_Beatles_for_Sale\01_-_No_Reply.lab,No Reply
74,The Beatles,154,chordlib,The Beatles\04_-_Beatles_for_Sale\02_-_I'm_a_Loser.lab,I'm a Loser
75,The Beatles,128,chordlib,The Beatles\04_-_Beatles_for_Sale\03_-_Baby's_In_Black.lab,Baby's In Black
76,The Beatles,154,chordlib,The Beatles\04_-_Beatles_for_Sale\04_-_Rock_and_Roll_Music.lab,Rock and Roll Music
77,The Beatles,111,chordlib,The Beatles\04_-_Beatles_for_Sale\05_-_I'll_Follow_the_Sun.lab,I'll Follow the Sun
78,The Beatles,157,chordlib,The Beatles\04_-_Beatles_for_Sale\06_-_Mr._Moonlight.lab,Mr. Moonlight
79,The Beatles,153,chordlib,"The Beatles\04_-_Beatles_for_Sale\07_-_Kansas_City-_Hey,_Hey,_Hey,_Hey.lab","Kansas City  Hey, Hey, Hey, Hey"
80,The Beatles,165,chordlib,The Beatles\04_-_Beatles_for_Sale\08_-_Eight_Days_a_Week.lab,Eight Days a Week
81,The Beatles,135,chordlib,The Beatles\04_-_Beatles_for_Sale\09_-_Words_of_Love.lab,Words of Love
82,The Beatles,180,chordlib,The Beatles\04_-_Beatles_for_Sale\10_-_Honey_Don't.lab,Honey Don't
83,The Beatles,125,chordlib,The Beatles\04_-_Beatles_for_Sale\11_-_Every_Little_Thing.lab,Every Little Thing
84,The Beatles,156,chordlib,The Beatles\04_-_Beatles_for_Sale\12_-_I_Don't_Want_to_Spoil_the_Party.lab,I Don't Want to Spoil the Party
85,The Beatles,155,chordlib,The Beatles\04_-_Beatles_for_Sale\13_-_What_You're_Doing.lab,What You're Doing
86,The Beatles,144,chordlib,The Beatles\04_-_Beatles_for_Sale\14_-_Everybody's_Trying_to_Be_My_Baby.lab,Everybody's Trying to Be My Baby
87,The Beatles,141,chordlib,The Beatles\05_-_Help!\01_-_Help!.lab,Help!
88,The Beatles,157,chordlib,The Beatles\05_-_Help!\02_-_The_Night_Before.lab,The Night Before
89,The Beatles,131,chordlib,The Beatles\05_-_Help!\03_-_You've_Got_To_Hide_Your_Love_Away.lab,You've Got To Hide Your Love Away
90,The Beatles,152,chordlib,The Beatles\05_-_Help!\04_-_I_Need_You.lab,I Need You
91,The Beatles,128,chordlib,The Beatles\05_-_Help!\05_-_Another_Girl.lab,Another Girl
92,The Beatles,140,chordlib,The Beatles\05_-_Help!\06_-_You're_Going_To_Lose_That_Girl.lab,You're Going To Lose That Girl
93,The Beatles,192,chordlib,The Beatles\05_-_Help!\07_-_Ticket_To_Ride.lab,Ticket To Ride
94,The Beatles,153,chordlib,The Beatles\05_-_Help!\08_-_Act_Naturally.lab,Act Naturally
95,The Beatles,119,chordlib,The Beatles\05_-_Help!\09_-_It's_Only_Love.lab,It's Only Love
96,The Beatles,159,chordlib,The Beatles\05_-_Help!\10_-_You_Like_Me_Too_Much.lab,You Like Me Too Much
97,The Beatles,160,chordlib,The Beatles\05_-_Help!\11_-_Tell_Me_What_You_See.lab,Tell Me What You See
98,The Beatles,127,chordlib,The Beatles\05_-_Help!\12_-_I've_Just_Seen_a_Face.lab,I've Just Seen a Face
99,The Beatles,127,chordlib,The Beatles\05_-_Help!\13_-_Yesterday.lab,Yesterday
100,The Beatles,174,chordlib,The Beatles\05_-_Help!\14_-_Dizzy_Miss_Lizzy.lab,Dizzy Miss Lizzy
101,The Beatles,150,chordlib,The Beatles\06_-_Rubber_Soul\01_-_Drive_My_Car.lab,Drive My Car
102,The Beatles,125,chordlib,The Beatles\06_-_Rubber_Soul\02_-_Norwegian_Wood_(This_Bird_Has_Flown).lab,Norwegian Wood (This Bird Has Flown)
103,The Beatles,203,chordlib,The Beatles\06_-_Rubber_Soul\03_-_You_Won't_See_Me.lab,You Won't See Me
104,The Beatles,164,chordlib,The Beatles\06_-_Rubber_Soul\04_-_Nowhere_Man.lab,Nowhere Man
105,The Beatles,139,chordlib,The Beatles\06_-_Rubber_Soul\05_-_Think_For_Yourself.lab,Think For Yourself
106,The Beatles,164,chordlib,The Beatles\06_-_Rubber_Soul\06_-_The_Word.lab,The Word
107,The Beatles,162,chordlib,The Beatles\06_-_Rubber_Soul\07_-_Michelle.lab,Michelle
108,The Beatles,162,chordlib,The Beatles\06_-_Rubber_Soul\08_-_What_Goes_On (2).lab,What Goes On (2)
109,The Beatles,171,chordlib,The Beatles\06_-_Rubber_Soul\08_-_What_Goes_On.lab,What Goes On
110,The Beatles,154,chordlib,The Beatles\06_-_Rubber_Soul\09_-_Girl.lab,Girl
