,artist,duration,number,orig_ds,orig_fname,title,id,href,status,t_eps
0,james_brown,151,3.0,Billboard,0003\salami_chords.txt,i_dont_mind,0,nan,nan,
1,roberta_flack_and_donny_hathaway,207,4.0,Billboard,0004\salami_chords.txt,youve_got__friend,1,nan,nan,
2,bette_midler,221,6.0,Billboard,0006\salami_chords.txt,rose,2,nan,nan,
3,billy_joel,318,10.0,Billboard,0010\salami_chords.txt,innocent_man,3,nan,nan,
4,johnny_lee,212,12.0,Billboard,0012\salami_chords.txt,lookin_for_love,4,nan,nan,
5,aerosmith,206,15.0,Billboard,0015\salami_chords.txt,last_child,5,nan,nan,
6,cyndi_lauper,229,16.0,Billboard,0016\salami_chords.txt,she_bop,6,nan,nan,
7,hall_and_oates,231,18.0,Billboard,0018\salami_chords.txt,kiss_on_my_list,7,nan,nan,
8,tanya_tucker,178,19.0,Billboard,0019\salami_chords.txt,heres_some_love,8,nan,nan,
9,j_geils_band,208,21.0,Billboard,0021\salami_chords.txt,just_cant_wait,9,nan,nan,
10,5th_dimension,238,22.0,Billboard,0022\salami_chords.txt,never_my_love,10,nan,nan,
11,talking_heads,219,23.0,Billboard,0023\salami_chords.txt,and_she_was,11,nan,nan,
12,graham_nash,241,25.0,Billboard,0025\salami_chords.txt,chicago,12,nan,nan,
13,chiffons,148,26.0,Billboard,0026\salami_chords.txt,swing_talkin_guy,13,nan,nan,
14,bad_company,200,27.0,Billboard,0027\salami_chords.txt,rock_n_roll_fantasy,14,nan,nan,
15,steve_miller_band,219,29.0,Billboard,0029\salami_chords.txt,joker,15,nan,nan,
16,r_dean_tayloy,191,30.0,Billboard,0030\salami_chords.txt,indiana_wants_me,16,nan,nan,
17,heart,292,33.0,Billboard,0033\salami_chords.txt,crazy_on_you,17,nan,nan,
18,if_i_cant_have_you,180,34.0,Billboard,0034\salami_chords.txt,yvonne_elliman,18,nan,nan,
19,freedom,263,35.0,Billboard,0035\salami_chords.txt,jimi_hendrix,19,nan,nan,
20,flatt_and_scruggs,162,37.0,Billboard,0037\salami_chords.txt,foggy_mountain_breakdown,20,nan,nan,
21,rolling_stones,307,39.0,Billboard,0039\salami_chords.txt,its_only_rock_and_roll_but_i_like_it,21,nan,nan,
22,snap,221,40.0,Billboard,0040\salami_chords.txt,power,22,nan,nan,
23,five_man_electrical_band,142,41.0,Billboard,0041\salami_chords.txt,absolutely_right,23,nan,nan,
24,phil_collins,205,43.0,Billboard,0043\salami_chords.txt,two_hearts,24,nan,nan,
25,power_station,306,44.0,Billboard,0044\salami_chords.txt,some_like_it_hot,25,nan,nan,
26,staple_singers,195,46.0,Billboard,0046\salami_chords.txt,ill_take_you_there,26,nan,nan,
27,barbara_streisand,221,49.0,Billboard,0049\salami_chords.txt,people,27,nan,nan,
28,beatles,143,50.0,Billboard,0050\salami_chords.txt,love_me_do,28,nan,nan,
29,cliff_richard,225,51.0,Billboard,0051\salami_chords.txt,carrie,29,nan,nan,
30,led_zeppelin,308,53.0,Billboard,0053\salami_chords.txt,over__hills_and_far_away,30,nan,nan,
31,j_frank_wilson_and__cavaliers,148,54.0,Billboard,0054\salami_chords.txt,last_kiss,31,nan,nan,
32,robert_cray_band,241,55.0,Billboard,0055\salami_chords.txt,smoking_gun,32,nan,nan,
33,bobbi_martin,176,56.0,Billboard,0056\salami_chords.txt,i_love_you_so,33,nan,nan,
34,peggy_lee,264,59.0,Billboard,0059\salami_chords.txt,is_that_all_there_is,34,nan,nan,
35,creedence_clearwater_revival,254,61.0,Billboard,0061\salami_chords.txt,i_put__spell_on_you,35,nan,nan,
36,gino_vanelli,223,62.0,Billboard,0062\salami_chords.txt,hurts_to_be_in_love,36,nan,nan,
37,roy_orbison,173,64.0,Billboard,0064\salami_chords.txt,cry_softly_lonely_one,37,nan,nan,
38,contours,174,66.0,Billboard,0066\salami_chords.txt,do_you_love_me,38,nan,nan,
39,little_joey_and__flips,137,67.0,Billboard,0067\salami_chords.txt,bongo_stomp,39,nan,nan,
40,gino_vannelli,190,68.0,Billboard,0068\salami_chords.txt,black_cars,40,nan,nan,
41,sly_and__family_stone,158,70.0,Billboard,0070\salami_chords.txt,hot_fun_in__summertime,41,nan,nan,
42,meatloaf,571,71.0,Billboard,0071\salami_chords.txt,paradise_by__dashboard_light,42,nan,nan,
43,youngbloods,277,72.0,Billboard,0072\salami_chords.txt,get_together,43,nan,nan,
44,martha_reeves_and__vandellas,179,74.0,Billboard,0074\salami_chords.txt,nowhere_to_run,44,nan,nan,
45,foghat,271,75.0,Billboard,0075\salami_chords.txt,drivin_wheel,45,nan,nan,
46,little_river_band,212,77.0,Billboard,0077\salami_chords.txt,reminiscing,46,nan,nan,
47,boys,265,78.0,Billboard,0078\salami_chords.txt,dial_my_heart,47,nan,nan,
48,james_brown,172,79.0,Billboard,0079\salami_chords.txt,cold_sweat_-_part_1,48,nan,nan,
49,paul_simon,281,81.0,Billboard,0081\salami_chords.txt,you_can_call_me_al,49,nan,nan,
50,ub40,321,83.0,Billboard,0083\salami_chords.txt,red_red_wine,50,nan,nan,
51,michael_jackson,254,85.0,Billboard,0085\salami_chords.txt,i_just_cant_stop_loving_you,51,nan,nan,
52,david_bowie,315,86.0,Billboard,0086\salami_chords.txt,space_oddity,52,nan,nan,
53,nitty_gritty_dirt_band,143,88.0,Billboard,0088\salami_chords.txt,buy_for_me__rain,53,nan,nan,
54,pat_benetar,200,89.0,Billboard,0089\salami_chords.txt,fire_and_ice,54,nan,nan,
55,spandau_ballet,343,91.0,Billboard,0091\salami_chords.txt,true,55,nan,nan,
56,peter_gabriel,239,92.0,Billboard,0092\salami_chords.txt,shock__monkey,56,nan,nan,
57,rolling_stones,344,94.0,Billboard,0094\salami_chords.txt,wild_horses,57,nan,nan,
