,artist,duration,number,orig_ds,orig_fname,title,id
0,james_brown,150.91,3.0,Billboard,0003\salami_chords.txt,i_don't_mind,0
1,roberta_flack_and_donny_hathaway,206.54,4.0,Billboard,0004\salami_chords.txt,you've_got_a_friend,1
2,bette_midler,220.69,6.0,Billboard,0006\salami_chords.txt,the_rose,2
3,billy_joel,318.16,10.0,Billboard,0010\salami_chords.txt,an_innocent_man,3
4,johnny_lee,212.04,12.0,Billboard,0012\salami_chords.txt,lookin'_for_love,4
5,aerosmith,206.32,15.0,Billboard,0015\salami_chords.txt,last_child,5
6,cyndi_lauper,228.84,16.0,Billboard,0016\salami_chords.txt,she_bop,6
7,hall_and_oates,231.34,18.0,Billboard,0018\salami_chords.txt,kiss_on_my_list,7
8,tanya_tucker,177.82,19.0,Billboard,0019\salami_chords.txt,here's_some_love,8
9,the_j._geils_band,207.99,21.0,Billboard,0021\salami_chords.txt,just_can't_wait,9
10,the_5th_dimension,237.84,22.0,Billboard,0022\salami_chords.txt,never_my_love,10
11,talking_heads,219.25,23.0,Billboard,0023\salami_chords.txt,and_she_was,11
12,graham_nash,241.08,25.0,Billboard,0025\salami_chords.txt,chicago,12
13,chiffons,148.39,26.0,Billboard,0026\salami_chords.txt,swing_talkin'_guy,13
14,bad_company,199.68,27.0,Billboard,0027\salami_chords.txt,rock_'n'_roll_fantasy,14
15,steve_miller_band,219.04,29.0,Billboard,0029\salami_chords.txt,the_joker,15
16,r_dean_tayloy,190.52,30.0,Billboard,0030\salami_chords.txt,indiana_wants_me,16
17,heart,291.51,33.0,Billboard,0033\salami_chords.txt,crazy_on_you,17
18,if_i_can't_have_you,180.09,34.0,Billboard,0034\salami_chords.txt,yvonne_elliman,18
19,freedom,263.37,35.0,Billboard,0035\salami_chords.txt,jimi_hendrix,19
20,flatt_and_scruggs,161.72,37.0,Billboard,0037\salami_chords.txt,foggy_mountain_breakdown,20
21,rolling_stones,307.17,39.0,Billboard,0039\salami_chords.txt,it's_only_rock_and_roll_(but_i_like_it),21
22,snap,220.89,40.0,Billboard,0040\salami_chords.txt,the_power,22
23,five_man_electrical_band,142.47,41.0,Billboard,0041\salami_chords.txt,absolutely_right,23
24,phil_collins,204.75,43.0,Billboard,0043\salami_chords.txt,two_hearts,24
25,the_power_station,305.84,44.0,Billboard,0044\salami_chords.txt,some_like_it_hot,25
26,the_staple_singers,194.75,46.0,Billboard,0046\salami_chords.txt,i'll_take_you_there,26
27,barbara_streisand,220.58,49.0,Billboard,0049\salami_chords.txt,people,27
28,beatles,142.81,50.0,Billboard,0050\salami_chords.txt,love_me_do,28
29,cliff_richard,225.41,51.0,Billboard,0051\salami_chords.txt,carrie,29
30,led_zeppelin,307.64,53.0,Billboard,0053\salami_chords.txt,over_the_hills_and_far_away,30
31,j._frank_wilson_and_the_cavaliers,147.7,54.0,Billboard,0054\salami_chords.txt,last_kiss,31
32,the_robert_cray_band,240.8,55.0,Billboard,0055\salami_chords.txt,smoking_gun,32
33,bobbi_martin,176.1,56.0,Billboard,0056\salami_chords.txt,i_love_you_so,33
34,peggy_lee,264.07,59.0,Billboard,0059\salami_chords.txt,is_that_all_there_is,34
35,creedence_clearwater_revival,254.28,61.0,Billboard,0061\salami_chords.txt,i_put_a_spell_on_you,35
36,gino_vanelli,222.69,62.0,Billboard,0062\salami_chords.txt,hurts_to_be_in_love,36
37,roy_orbison,173.35,64.0,Billboard,0064\salami_chords.txt,cry_softly_lonely_one,37
38,the_contours,174.37,66.0,Billboard,0066\salami_chords.txt,do_you_love_me,38
39,little_joey_and_the_flips,137.25,67.0,Billboard,0067\salami_chords.txt,bongo_stomp,39
40,gino_vannelli,189.57,68.0,Billboard,0068\salami_chords.txt,black_cars,40
41,sly_and_the_family_stone,158.28,70.0,Billboard,0070\salami_chords.txt,hot_fun_in_the_summertime,41
42,meatloaf,570.8,71.0,Billboard,0071\salami_chords.txt,paradise_by_the_dashboard_light,42
43,the_youngbloods,276.77,72.0,Billboard,0072\salami_chords.txt,get_together,43
44,martha_reeves_and_the_vandellas,178.78,74.0,Billboard,0074\salami_chords.txt,nowhere_to_run,44
45,foghat,271.36,75.0,Billboard,0075\salami_chords.txt,drivin'_wheel,45
46,little_river_band,211.58,77.0,Billboard,0077\salami_chords.txt,reminiscing,46
47,the_boys,265.46,78.0,Billboard,0078\salami_chords.txt,dial_my_heart,47
48,james_brown,171.94,79.0,Billboard,0079\salami_chords.txt,cold_sweat_-_part_1,48
49,paul_simon,280.61,81.0,Billboard,0081\salami_chords.txt,you_can_call_me_al,49
50,ub40,321.02,83.0,Billboard,0083\salami_chords.txt,red_red_wine,50
51,michael_jackson,253.59,85.0,Billboard,0085\salami_chords.txt,i_just_can't_stop_loving_you,51
52,david_bowie,315.14,86.0,Billboard,0086\salami_chords.txt,space_oddity,52
53,nitty_gritty_dirt_band,143.05,88.0,Billboard,0088\salami_chords.txt,buy_for_me_the_rain,53
54,pat_benetar,200.18,89.0,Billboard,0089\salami_chords.txt,fire_and_ice,54
55,spandau_ballet,343.12,91.0,Billboard,0091\salami_chords.txt,true,55
56,peter_gabriel,239.05,92.0,Billboard,0092\salami_chords.txt,shock_the_monkey,56
57,rolling_stones,344.14,94.0,Billboard,0094\salami_chords.txt,wild_horses,57
58,boyz_ii_men,234.24,97.0,Billboard,0097\salami_chords.txt,motown_philly,58
59,bananarama,248.82,99.0,Billboard,0099\salami_chords.txt,a_trick_of_the_night,59
60,rod_stewart,350.2,100.0,Billboard,0100\salami_chords.txt,maggie_may,60
61,dottie_west,182.99,101.0,Billboard,0101\salami_chords.txt,a_lesson_in_leavin,61
62,ray_price,230.43,102.0,Billboard,0102\salami_chords.txt,for_the_good_times,62
63,little_river_band,273.76,104.0,Billboard,0104\salami_chords.txt,we_two,63
64,rush,297.51,105.0,Billboard,0105\salami_chords.txt,the_spirit_of_radio,64
65,bread,155.51,106.0,Billboard,0106\salami_chords.txt,if,65
66,lynyrd_skynyrd,283.53,107.0,Billboard,0107\salami_chords.txt,sweet_home_alabama,66
67,the_tee_set,196.91,109.0,Billboard,0109\salami_chords.txt,ma_belle_amie,67
68,the_byrds,215.14,111.0,Billboard,0111\salami_chords.txt,eight_miles_high,68
69,gladys_knight_and_the_pips,165.69,112.0,Billboard,0112\salami_chords.txt,letter_full_of_tears,69
70,cream,253.24,114.0,Billboard,0114\salami_chords.txt,sunshine_of_your_love,70
